,0
0,1.5002497126874883
1,1.5884427866967794
2,2.2564014032029402
3,1.801433537088769
4,3.687140197946338
5,12.630541160612157
6,58.51352726312632
7,56.40749988203388
8,51.47706732664468
9,61.79297865972292
10,40.65536519597015
11,42.4208396522821
12,46.054858324365185
13,58.99822165771158
14,59.18118117244511
15,28.773523049864945
16,4.011671869156901
17,2.263823102827423
18,1.645510721449926
19,1.5072330385855222
20,1.0904377249801516
21,0.9098330325193865
22,0.6739421170169344
23,1.3077848872871953
